Movie_ID,Title,Release_Date,Revenue,Tagline
19995,Avatar,10/12/2009,2787965087,Enter the World of Pandora.
105,Back to the Future,03/07/1985,381109762,He's the only kid ever to get into trouble before he was born.
271110,Captain America: Civil War,27/04/2016,1153304495,Divided We Fall
119450,Dawn of the Planet of the Apes,26/06/2014,710644566,One last chance for peace.
601,E.T. the Extra-Terrestrial,03/04/1982,792910554,He is afraid. He is alone. He is three million light years from home.
754,Face/Off,27/06/1997,245676146,"In order to catch him, he must become him."
118340,Guardians of the Galaxy,30/07/2014,773328629,All heroes start somewhere.
228161,Home,18/03/2015,368871007,Worlds Collide
68721,Iron Man 3,18/04/2013,1215439994,Unleash the power behind the armor.
135397,Jurassic World,09/06/2015,1513528810,The park is open.
13811,Knowing,19/03/2009,155446362,Knowing is everything...
2157,Lost in Space,03/04/1998,136159423,"Danger, Will Robinson!"
49521,Man of Steel,12/06/2013,662845518,You will believe that a man can fly.
12107,Nutty Professor II: The Klumps,27/07/2000,123307945,The Klumps are back!
75612,Oblivion,10/04/2013,286168572,Earth is a memory worth fighting for
68726,Pacific Rim,11/07/2013,407602906,"To Fight Monsters, We Created Monsters"
13812,Quarantine,10/10/2008,40855419,Contain The Truth.
1892,Return of the Jedi,23/05/1983,572700000,The Empire Falls...
1893,Star Wars: Episode I - The Phantom Menace,19/05/1999,924317558,Every generation has a legend. Every journey has a first step. Every saga has a beginning.
24428,The Avengers,25/04/2012,1519557910,Some assembly required.
9741,Unbreakable,13/11/2000,248118121,Some things are only revealed by accident.
1903,Vanilla Sky,10/12/2001,203388341,"Forget everything you know, and open your eyes."
74,War of the Worlds,28/06/2005,591739379,They're already here.
127585,X-Men: Days of Future Past,15/05/2014,747862775,"To save the future, they must alter the past"
3034,Young Frankenstein,15/12/1974,86273333,The scariest comedy of all time!
6795,Zathura: A Space Adventure,06/11/2005,64321501,Adventure Is Waiting
